,0,1
0,CCH Pounder,James Cameron
1,Johnny Depp,Gore Verbinski
2,Christoph Waltz,Sam Mendes
3,Tom Hardy,Christopher Nolan
4,Doug Walker,Doug Walker
5,Daryl Sabara,Andrew Stanton
6,J.K. Simmons,Sam Raimi
7,Brad Garrett,Nathan Greno
8,Chris Hemsworth,Joss Whedon
9,Alan Rickman,David Yates
10,Henry Cavill,Zack Snyder
11,Kevin Spacey,Bryan Singer
12,Giancarlo Giannini,Marc Forster
16,Peter Dinklage,Andrew Adamson
18,,Rob Marshall
19,Will Smith,Barry Sonnenfeld
20,Aidan Turner,Peter Jackson
21,Emma Stone,Marc Webb
22,Mark Addy,Ridley Scott
24,Christopher Lee,Chris Weitz
25,Naomi Watts,
26,Leonardo DiCaprio,
27,Robert Downey Jr.,Anthony Russo
28,Liam Neeson,Peter Berg
29,Bryce Dallas Howard,Colin Trevorrow
30,Albert Finney,
32,,Shane Black
33,,Tim Burton
34,Hugh Jackman,Brett Ratner
35,Steve Buscemi,Dan Scanlon
36,Glenn Morshower,Michael Bay
37,Bingbing Li,
38,Tim Holmes,
40,Jeff Bridges,Joseph Kosinski
41,Joe Mantegna,John Lasseter
42,Ryan Reynolds,Martin Campbell
43,Tom Hanks,Lee Unkrich
44,Christian Bale,McG
45,Jason Statham,James Wan
46,Peter Capaldi,
47,Jennifer Lawrence,
48,Benedict Cumberbatch,J.J. Abrams
49,Eddie Marsan,
50,,Baz Luhrmann
51,Jake Gyllenhaal,Mike Newell
52,Charlie Hunnam,Guillermo del Toro
54,Harrison Ford,Steven Spielberg
55,A.J. Buckley,Peter Sohn
56,Kelly Macdonald,Mark Andrews
57,Sofia Boutella,Justin Lin
58,John Ratzenberger,
59,Tzi Ma,
60,Oliver Platt,Roland Emmerich
61,Robin Wright,Robert Zemeckis
62,Channing Tatum,Lana Wachowski
64,Jim Broadbent,
67,,Pete Docter
68,Amy Poehler,Rob Letterman
69,,Jon Favreau
70,Chloë Grace Moretz,Martin Scorsese
72,Jet Li,Rob Cohen
73,,David Ayer
74,Jimmy Bennett,Tom Shadyac
75,Tom Cruise,Doug Liman
76,Jeanne Tripplehorn,Kevin Reynolds
77,Joseph Gordon-Levitt,Stephen Sommers
79,Scarlett Johansson,
81,,Rupert Sanders
82,Angelina Jolie Pitt,Robert Stromberg
83,Gary Oldman,Matt Reeves
