1st preference,2nd preference,3rd preference
Children's,Drama,Animation
Drama,Action,Thriller
Comedy,Adventure,Action
Action,Sci-Fi,Drama
Drama,Comedy,Thriller
Romance,Comedy,Drama
Action,Thriller,Sci-Fi
Drama,Action,Thriller
Drama,Comedy,Thriller
Comedy,Drama,Action
Comedy,Drama,Romance
Drama,Comedy,Crime
Adventure,Action,Sci-Fi
Drama,Comedy,Romance
Drama,Thriller,Comedy
Comedy,Romance,Animation
Sci-Fi,Drama,Action
Drama,Action,Adventure
Action,Comedy,Horror
Action,Thriller,Sci-Fi
Animation,Children's,Comedy
Comedy,Action,Thriller
Sci-Fi,Action,Thriller
Drama,Comedy,Romance
Sci-Fi,Action,Adventure
Comedy,Drama,Romance
Drama,Comedy,Film-Noir
Drama,Comedy,Romance
Action,Thriller,Sci-Fi
Drama,Thriller,Comedy
Comedy,Romance,Drama
Drama,Thriller,Romance
Drama,Thriller,Action
Comedy,Romance,Drama
Drama,Comedy,Romance
Comedy,Action,Drama
Romance,Comedy,Action
Romance,Comedy,Drama
Comedy,Drama,Action
Adventure,War,Action
Action,Drama,Romance
Action,Sci-Fi,Adventure
Comedy,Romance,Thriller
Comedy,Adventure,Action
Comedy,Romance,Drama
Horror,Thriller,Mystery
Drama,Romance,Crime
Comedy,Action,Drama
Action,Adventure,Sci-Fi
Drama,Comedy,Thriller
Comedy,Drama,Romance
Action,Thriller,Drama
Drama,Comedy,Thriller
Comedy,Drama,Romance
Drama,Thriller,War
Drama,Comedy,Thriller
Drama,Comedy,Action
Drama,Action,Sci-Fi
Drama,Romance,Comedy
Adventure,Comedy,Mystery
Action,Comedy,Thriller
Drama,Comedy,Romance
Drama,Comedy,Thriller
Action,Adventure,Thriller
Action,Drama,Adventure
Comedy,Drama,War
Drama,Romance,Comedy
Comedy,Drama,Romance
Drama,Romance,Comedy
Comedy,Drama,Action
Action,Drama,Comedy
Comedy,Drama,Romance
Action,Comedy,Sci-Fi
Drama,Mystery,Thriller
Children's,Comedy,Animation
Drama,Comedy,Thriller
Comedy,Drama,Thriller
Comedy,Musical,Drama
Mystery,Drama,Thriller
Drama,Action,Comedy
Drama,Comedy,Thriller
Drama,Thriller,Action
Fantasy,Comedy,Adventure
Action,Sci-Fi,Adventure
Drama,Comedy,Thriller
Adventure,Action,Children's
Action,Drama,Adventure
Drama,Comedy,Romance
Drama,Action,War
Comedy,Drama,Thriller
Comedy,Romance,Drama
Comedy,Children's,Adventure
Action,Adventure,Sci-Fi
Horror,Sci-Fi,Thriller
Comedy,Drama,Action
Drama,Action,Comedy
Drama,Comedy,Thriller
Drama,Action,Comedy
Comedy,Drama,Children's
Action,Adventure,Drama
Action,Adventure,Sci-Fi
Drama,Comedy,Thriller
Action,Thriller,Sci-Fi
Comedy,Drama,Thriller
Action,Drama,Sci-Fi
Romance,Comedy,Drama
Drama,Thriller,Romance
Comedy,Action,Thriller
Comedy,Adventure,Sci-Fi
Crime,Drama,Action
Drama,Comedy,Romance
Animation,Children's,Film-Noir
Sci-Fi,Action,Thriller
Children's,Animation,Musical
Comedy,Action,Thriller
Comedy,Action,Drama
Action,Sci-Fi,Adventure
Action,Comedy,Adventure
Comedy,Children's,Animation
Drama,Action,Crime
Sci-Fi,Action,Adventure
Action,Thriller,Drama
Drama,Comedy,Thriller
Drama,Thriller,Action
Action,Drama,Thriller
Romance,Drama,Action
Thriller,Drama,Action
Comedy,Action,Sci-Fi
Action,Crime,Thriller
Action,Thriller,Sci-Fi
Drama,Comedy,Thriller
Comedy,Drama,Romance
Drama,Thriller,Comedy
Action,Comedy,Sci-Fi
Comedy,Drama,Animation
Comedy,Drama,Romance
Action,Drama,Thriller
Crime,Drama,Action
Comedy,Action,Drama
Drama,Comedy,Action
Drama,Mystery,Thriller
Drama,Comedy,Children's
Action,Comedy,Drama
Drama,Action,Thriller
Drama,Comedy,Action
Drama,Comedy,Romance
Action,Drama,Thriller
Action,Drama,Comedy
Drama,Comedy,Action
Drama,Comedy,Romance
Comedy,Drama,Romance
Comedy,Drama,Adventure
Comedy,Drama,Romance
Drama,Comedy,Action
Comedy,Drama,Romance
Romance,Comedy,Drama
Comedy,Drama,Action
Drama,Thriller,Film-Noir
Comedy,Drama,Action
Drama,Sci-Fi,Action
Drama,Comedy,Thriller
Action,Comedy,Thriller
Action,Comedy,Drama
Drama,Romance,Comedy
Sci-Fi,Comedy,Action
Drama,Comedy,Thriller
Drama,Comedy,Action
Comedy,Drama,Action
Comedy,Drama,Action
Action,Drama,Sci-Fi
Documentary,Drama,Crime
Film-Noir,Drama,Thriller
Drama,Comedy,Thriller
Action,Thriller,Sci-Fi
Drama,Comedy,Romance
Comedy,Action,Romance
Sci-Fi,Action,Adventure
Musical,Comedy,Romance
Sci-Fi,Drama,Action
Drama,Comedy,Crime
Comedy,Action,Drama
Comedy,Drama,Action
Drama,Comedy,Thriller
Children's,Animation,Comedy
Action,Thriller,Adventure
Comedy,Animation,Children's
Drama,Comedy,Romance
Action,Drama,Thriller
Drama,Action,Thriller
Drama,Comedy,Action
Comedy,Drama,Thriller
Drama,Action,Comedy
Drama,Comedy,Romance
Comedy,Romance,Children's
Drama,Comedy,Action
Thriller,Drama,Crime
Drama,Comedy,Action
Comedy,Action,Drama
Drama,Action,Comedy
Comedy,Action,Thriller
Comedy,Drama,Romance
Comedy,Drama,Action
Drama,Romance,Crime
Drama,Action,Comedy
Comedy,Thriller,Drama
Sci-Fi,Action,Adventure
Comedy,Drama,Adventure
Drama,Thriller,Action
Comedy,Drama,Romance
Action,Thriller,Adventure
Thriller,Sci-Fi,Drama
